NAME	ALTERNATIVENAMES	SHORTDESCRIPTION	DATEOFBIRTH	PLACEOFBIRTH	DATEOFDEATH	PLACEOFDEATH	LATITUDE	LONGITUDE
Álvarez de Toledo, Pedro	 	Spanish viceroy	July 13, 1484	Madrid, Spain	February 21, 1553	Florence, Italy	40.46179	-3.56718
Árni Magnússon	Arne Magnusson, Magnussen (Danish versions of name)	Icelandic scholar and manuscript collector	13 November 1663	Kvennabrekka, Dalasýsla, Iceland	7 January 1730	Copenhagen, Denmark	65.25	-22
Ælfheah	Alphege	Bishop of Winchester; Archbishop of Canterbury; Saint	954	Weston, Bath|Weston, Somerset, England	19 April 1012	Greenwich, Kent	43.84049	-104.56783
Æthelred II	Æthelred the Unready	King of England	968	Wessex, England	23 April 1016	London, England	-42.23	146.12
Æthelstan	 	King of England	895	Wessex, England|Wessex, England	939	Gloucester	-42.23	146.12
Æthelwold	 	Bishop of Winchester; Abbot of Abingdon	909	Winchester	1 August, 984	Beddington, Surrey	-20.43092	27.98273
Ōkubo Tadataka	 	Japanese warrior	1560	Okazaki, Aichi|Kamiwada, Mikawa Province	April 2, 1639		34.95	137.16667
Ōkubo Tadayo	 	Daimyo	1532	Okazaki, Aichi, Japan	October 28, 1594	Odawara, Kanagawa, Japan	34.95	137.16667
Πτολεμαῖος, Κλαύδιος	Ptolemaeus, Claudius; Ptolemy	geographer, astronomer and astrologer	90	probably Egypt	168	Alexandria|Alexandria, Egypt	42.5	1.48333
‘Ammār ibn Yāsir	 	Companion of the Prophet Mohammmed	570	Mecca	657	Siffin	41.38719	-80.76172
Clement VII, Pope	de' Medici, Giulio (birth name); de' Medici, Giulio di Giuliano (full name); Clemente VII, papa (Italian); Clemens VII, Papa (Latin)	Pope	26 May 1478	Florence, Republic of Florence	25 September 1534	Rome, Papal States	-21.87344	30.89136
Aa, Petrus van der	Vanderanus	Flemish jurist	1530	Leuven, Belgium	1594		50.87959	4.70093
Aa, Pieter van der	 	Dutch publisher	1659	Mechelen, Belgium	1733		51.0245	4.48817
Aachen, Hans von	Achen, Johann von	Mannerism|Mannerist Painting|painter	1552	Cologne, Germany	March 4, 1615	Prague, Czech Republic	45.58138	9.94136
Aaron ben Moses ben Asher	 	Jewish Scribe who perfected the written language	10th Century	Tiberias	960		-42.42	147.35001
Aarssens, Francis Van	 	Dutch diplomat and statesman	27 September 1572	Brussels	27 December 1641	The Hague	50.8348	4.33653
Abû Hayyân Al Gharnâti	 	Muslim scholar	1256	Granada	1344		-23.53902	-50.59682
Abakh Khoja	 	Religious and political leader	1626	Kumul, Xinjiang	1694		-5.78474	134.79261
Abate, Adamo	 	Abbot	990	Petazio	 		42.5	1.48333
Abauzit, Firmin	 	Physician, theologian and philosopher	1679	Uzès	1767	Geneva	44.01362	4.41529
Abbas 01 Of Persia	 	Shah of Iran	27 January 1571	Herat (modern Afghanistan)	19 January 1629	Mazandaran (Iran)	42.5	1.48333
Abbas ibn Ali	 	Abul Fadhl	0647-05-15	Madinah|Madīnah	0680-10-10	Karbalā	32.10015	20.06906
Abbot, George	 	Bishop	19 October 1562	Guildford|Guildford, Surrey	5 August 1633	Croydon, London	-18.21185	141.89124
Abd Allah ibn al-Zubayr	 	Arab sahabi	624	Medina, Arabia	692	Mecca	34.83333	15.16667
Abdul-Haqq Dehlavi	 	Islamic scholar	1551	Delhi, India	1642	Delhi, India	47.02318	-103.85681
Abe Masatsugu	 	Japanese daimyo	1569	Mikawa Province, Japan	December 10, 1647	Osaka, Japan	41.5	135
Abe Tadaaki	 	Daimyo	1602	Edo, Japan	1671		7.34506	6.11489
Abe no Seimei	 	Japanese painter	921	Abemonju-in Temple, Sakurai, Nara, Japan	1005	Japan	40.80838	140.36944
Abel, John	 	English architect	1578	Sarnesfield, Herefordshire	1675		52.08333	-2.75
Abelin, Johann Philipp	 	German chronicler	career straddled the 16th and 17th centuries	probably at Strasbourg	1634-1637	Strasbourg	42.5	1.48333
Abensperg und Traun, Otto Ferdinand von	Abensperg und Traun, Graf Otto Ferdinand von	Austrian Field Marshal	August 27, 1677	Sopron|Ödenburg	February 18, 1748	Sibiu|Hermannstadt	47.68501	16.59049
Abercromby, Patrick	 	Antiquarian, physician	1656	Forfar, Scotland	 		-25.76758	28.62299
Abhari	 	Philosopher, astronomer, astrologer, mathematician	1200	Mosul, Iraq	1265	Shabestar, Iran or Azerbaijan	41.44476	46.57224
Abrabanel, Isaac	 	Portuguese philosopher	1437	Lisbon, Portugal	1508	Venice, Italy	38.76529	-9.09518
Abraham Hiyya Nasi	 	Medieval Jewish astronomer	1070	Barcelona	1136	Provence	9.45588	-64.82928
Abschatz, Hans Erasmus Assmann Freiherr von	 	Statesman, poet	4 February 1646	Breslau	22 April 1699	Liegnitz	42.5	1.58333
Abu Al-Ghazi Bahadur	 	Khan of Khiva, historian	August 24, 1603	Urgench, Khanate of Khiva	1663	Khiva	41.58427	60.64171
Abu Ayyub Al-Ansari	 	Muhammad's Ansar	576	Medina, Arabian Peninsula|Arabia	674	Istanbul|Constantinople, Byzantine Empire	34.83333	15.16667
Abu Hanifa	 	Founder of Sunni Hanafi	699	Kufa, Iraq	767	Baghdad, Iraq	41.56426	47.37845
Abu Mansur Mauhub al-Jawaliqi	 	Arab grammarian	1073	Baghdad, Iraq	1145		33.34058	44.40088
Abu Ubaidah Ibn Al-Jarrah	 	Sahabah of Muhammad	581	Mecca, Arabian Peninsula|Arabia	639	Jordan Valley (Middle East)|Jordan Valley, Jordan.	41.38719	-80.76172
