NAME	ALTERNATIVENAMES	SHORTDESCRIPTION	DATEOFBIRTH	PLACEOFBIRTH	DATEOFDEATH	PLACEOFDEATH	LATITUDE	LONGITUDE
Abu Ubayd Al-Juzjani	 	Medieval Persian physician	980	Jowzjan Province, Afghanistan	1037		15.33488	44.18876
Abul Hasan Qutb Shah	 	Sultan of Qutb Shahi dynasty	1600	ARUANGBAD	1699	Daulatabad, Maharashtra|Daulatabad, Aurangabad Maharashtra|Aurangabad	42.5	1.48333
Abulafia, Abraham	 	Philosopher, writer	1240	Zaragoza, Spain	1290s	Comino, Malta	13.58944	-89.28889
Accolti	 	Poet	September 11, 1465	Arezzo	March 1, 1536		42.70559	12.61883
Achaeus of Eretria	 	Greek playwright	484 BC	Euboea	 		38.5	24
Acharya, Vallabha	 	Philosopher	1479	Champaranya, India	1531	Hanuman Ghat, Kashi Asura Vyamoha Leela	-26.21891	28.16039
Achery, Luc	Achery, Jean-Luc d’	Benedictine scholar, librarian, bibliographer	1609	Saint-Quentin, Aisne	29 April 1685	Paris	48.77186	2.01891
Achtschellinck, Lucas	 	painter	bapt. 16 January 1626	Brussels	by 12 May 1699		50.8348	4.33653
Acidalius, Valens	Havekenthal, Valens; Hauckenthal, Valens	German humanist	1567	Wittstock 	25 May 1595	Nysa, Poland|Neisse	53.16118	12.48287
Acuna y Manrique, Juan de	 	Viceroy of New Spain	1658-00-00	Lima, Peru	March 17, 1734	Mexico City, Mexico	-12.04318	-77.02824
Adalbert Of Prague	 	Czech Roman Catholic saint	956	Libice nad Cidlinou, Bohemia	997	Truso (Elbląg) or Kaliningrad Oblast	41.4135	-96.85072
Adam de la Halle	Adam le Bossou	French-born trouvère, poet and musician	1237?	Arras	1288		41.73583	20.32417
Adam, Salimbene di	Salimbene of Parma	Franciscan friar and historian	1221	Commune of Parma, Holy Roman Empire	1290	Montefalcone	42.5	1.48333
Adam, William	 	Architect	October 1689	Linktown of Abbotshall	24 June 1748		42.5	1.48333
Adams, Fitzherbert	 	Academic administrator, clergyman, and benefactor	1651	England	17 June 1719	England	38	-61
Adams, John	 	English Priest and martyr	1543	Winterborne St Martin, Dorset, England	8 October 1586	Tyburn, London, England	64.23378	-76.54372
Adams, Thomas, Sir	 	Lord Mayor of the City of London|Lord Mayor and Member of Parliament for the City of London	1586	Wem, Shropshire	24 February 1667/1668		-41.15	146.16
Adams, William	 	First Englishman in Japan; sailor	24 September 1564	Gillingham, Medway|Gillingham – then in Kent, England	16 May 1620	Hirado, Kyūshū, Japan	51.38669	0.55043
Adamson, Patrick	 	Divine, Archbishop of St Andrews	1537	Perth, Scotland|Perth	1592	St Andrews	-31.95872	115.87109
