#Item	Label	Description	Site on enwiki
Q318784	Bentheim-Steinfurt		Bentheim-Steinfurt
Q318987	Bishopric of Eichstätt		Bishopric of Eichstätt
Q319250	County of East Frisia		County of East Frisia
Q319677	County of Baden		County of Baden
Q319703	Isenburg-Büdingen		Isenburg-Büdingen
Q320335	County of Stolberg		County of Stolberg
Q320536	Principality Werle		Werle
Q320925	Shu Han		Shu Han
Q320930	Cao Wei		Cao Wei
Q322309	Ortenburg-Neuortenburg		Imperial County of Ortenburg
Q323032	Miraflores Altarpiece		Miraflores Altarpiece
Q323079	Dresden Triptych		Dresden Triptych
Q323753	Assumption of the Virgin	Painting by Botticini	Assumption of the Virgin (Botticini)
Q324470	Kara Koyunlu		Kara Koyunlu
Q326362	Golden Hat of Schifferstadt		Golden Hat of Schifferstadt
Q328001	Ancient Diocese of Toul		Ancient Diocese of Toul
Q330533	Seventeen Provinces	Union of states in the Netherlands in the 15th and 16th centuries	Seventeen Provinces
Q332005	Principality of Achaea		Principality of Achaea
Q334714	Duchy of Athens		Duchy of Athens
Q334845	Muromachi period		Muromachi period
Q337222	Duke of York		Duke of York
Q349849	East Asian Yogācāra	East Asian Yogācāra in Japan	East Asian Yogācāra
Q368788	Pietà	painting by Pietro Perugino	Pietà (Perugino)
Q369080	Stadion		Stadion (state)
Q369582	Madonna and Child		Madonna and Child (Masaccio)
Q373981	Tahirid dynasty		Tahirid dynasty
Q373988	Beylik of Teke		Beylik of Teke
Q374521	Bahmani Sultanate		Bahmani Sultanate
Q385084	Great Perm	ancient Komi state in medieval Russia	Great Perm
Q385499	Triumphs of Caesar	series of paintings by Andrea Mantegna	Triumphs of Caesar (Mantegna)
Q386303	Thirtieth Dynasty of Egypt		Thirtieth Dynasty of Egypt
Q389360	Bishopric of Dorpat		Bishopric of Dorpat
Q389688	Achaemenid Empire	first Persian Empire founded by Achaemenes	Achaemenid Empire
Q389847	Tuxtla Statuette		Tuxtla Statuette
Q402382	Ahom Dynasty		Ahom dynasty
Q402580	Medang Kingdom		Medang Kingdom
Q420759	Second Bulgarian Empire	medieval Bulgarian state	Second Bulgarian Empire
Q426025	Duchy of Savoy		Duchy of Savoy
Q428634	Lordship of Negroponte		Triarchy of Negroponte
Q429342	Duke of Teck		Duke of Teck
Q430069	Ecce Homo	1470s painting by Hieronymus Bosch	Ecce Homo (Bosch, 1470s)
Q430222	Symmachi–Nicomachi diptych		Symmachi–Nicomachi diptych
Q430277	Assumption of the Virgin	Painting by Andrea del Castagno in the Gemäldegalerie Berlin	Assumption of the Virgin (Andrea del Castagno)
Q430293	The Resurrection	fresco by Piero della Francesca	The Resurrection (Piero della Francesca)
Q431029	Apoxyomenos		Apoxyomenos
Q431122	Yeomen of the Guard		Yeomen of the Guard
Q431575	Idrisid dynasty		Idrisid dynasty
Q434461	Seven Sacraments Altarpiece	triptych by Rogier van der Weyden	Seven Sacraments Altarpiece
Q435583	Old Swiss Confederacy		Old Swiss Confederacy
Q436994	Kingdom of Dublin		Kingdom of Dublin
Q438909	Palatinate-Simmern and Zweibrücken		Palatinate-Simmern and Zweibrücken
Q444078	St. Sebastian	painting by the Italian Renaissance artist Antonello da Messina, finished in 1477-1479	St. Sebastian (Antonello da Messina)
Q445892	County of Schaumburg		County of Schaumburg
Q454805	An der Etsch		An der Etsch
Q458808	Bishopric of Chiemsee		Bishopric of Chiemsee
Q463392	Paradiesgärtlein	most famous painting of the Upper Rhenish master	Paradiesgärtlein
Q463886	Solms-Braunfels	county in Hesse, Germany	Solms-Braunfels
Q464103	Speaker of the House of Commons	Of England, Great Britain and the United Kingdom	Speaker of the House of Commons (United Kingdom)
Q466581	Hoysala Empire		Hoysala Empire
Q468378	County of Hoya		County of Hoya
Q473437	Holy Kinship		Holy Kinship
Q474338	Lady with an Ermine	painting by Leonardo da Vinci	Lady with an Ermine
Q474409	Lucca Madonna		Lucca Madonna (van Eyck)
Q474421	Principality of Fürstenberg		Fürstenberg (principality)
Q477556	Statue of Ebih-Il	25th-century BC statue of the praying figure of Ebih-Il	Statue of Ebih-Il
Q484195	Timurid dynasty	timurid	Timurid dynasty
Q486181	Samanid dynasty		Samanid Empire
Q486918	Khwarazmian dynasty		Khwarazmian dynasty
Q487574	Rûm Eyalet	Ottoman province	Rûm Eyalet
Q487829	Chagatai Khanate		Chagatai Khanate
Q488825	Adoration of the Magi of 1475	by Botticelli, Uffizi	Adoration of the Magi of 1475 (Botticelli)
Q494354	Kara-Khanid Khanate		Kara-Khanid Khanate
Q496180	Archbishopric of Bremen		Archbishopric of Bremen
Q501754	Carantania		Carantania
Q504769	Xin dynasty		Xin dynasty
Q506218	Prince-Bishopric of Warmia		Prince-Bishopric of Warmia
Q506369	Order of the Bath	series of awards of an order of chivalry of the United Kingdom	Order of the Bath
Q509478	Reuss-Lobenstein		Reuss-Lobenstein
Q513498	County of Rodez		County of Rodez
Q514081	Gévaudan		Gévaudan
Q519718	Taungoo Dynasty		Taungoo Dynasty
Q521671	Pietà of Villeneuve-lès-Avignon		Pietà of Villeneuve-lès-Avignon
Q526507	Later Shu		Later Shu
Q527527	Bishopric of Lübeck		Bishopric of Lübeck
Q527658	Counts of Toggenburg		Counts of Toggenburg
Q530835	Papyrus 10		Papyrus 10
Q531471	Chancellor of the Exchequer	title held by the British Cabinet minister who is responsible for all economic and financial matters	Chancellor of the Exchequer
Q536203	Saint Jerome in His Study		Saint Jerome in His Study (after van Eyck)
Q537503	Principality of Piombino		Principality of Piombino
Q538677	Angevin Empire	Former collection of states in north-western Europe during the High Middle Ages.	Angevin Empire
Q545029	Principality of Anhalt-Aschersleben		Principality of Anhalt-Aschersleben
Q546241	Theotokos of Vladimir	medieval Byzantine icon	Theotokos of Vladimir
Q546282	Xia		Xia (Sixteen Kingdoms)
Q546297	Lamentation of Christ	painting by Andrea Mantegna	Lamentation of Christ (Mantegna)
Q549817	Principality of Murom		Principality of Murom
Q549847	Primavera	tempera panel painting by Italian artist Sandro Botticelli	Primavera (painting)
Q551020	Aurora consurgens	15th century illuminated manuscript	Aurora consurgens
Q551067	Northern Zhou		Northern Zhou
Q552033	Bavaria-Munich		Bavaria-Munich
Q555994	Aq Qoyunlu		Aq Qoyunlu
Q556263	Duchy of Brunswick-Lüneburg	duchy in Holy Roman Emprie 1235-1269; title of "Duke of Brunswick-Luneburg" used by rulers of all successor states	Duchy of Brunswick-Lüneburg
Q559667	Tirant lo Blanch		Tirant lo Blanch
Q562552	Oettinger Beer		Oettinger Beer
Q565463	Bishopric of Lebus		Bishopric of Lebus
Q565812	Principality of Calenberg		Principality of Calenberg
Q566315	Bishopric of Constance		Bishopric of Constance
Q566639	Duchy of Troppau		Duchy of Troppau
Q566770	Bishopric of Merseburg		Bishopric of Merseburg
Q567488	Aldine Press		Aldine Press
Q567609	Duchy of Merania	short-lived Estate of the Holy Roman Empire existing from 1153 until 1248.	Duchy of Merania
Q567634	Principality of Grubenhagen		Principality of Grubenhagen
Q568473	Burgraviate of Nuremberg		Burgraviate of Nuremberg
Q568523	Nobatia		Nobatia
Q568638	Duchy of Silesia		Duchy of Silesia
Q568847	The Descent from the Cross by Rogier van der Weyden	painting in the Prado museum	The Descent from the Cross (van der Weyden)
Q570188	Trinity	15th century Russian Christian icon	Trinity (Andrei Rublev)
Q571428	Principality of Rügen	former Danish principality	Principality of Rügen
Q571453	Former Shu		Former Shu
Q571653	Principality of Göttingen		Principality of Göttingen
Q572222	County of Horne		County of Horne
Q574004	Crucifixion and Last Judgement diptych		Crucifixion and Last Judgement diptych
Q574644	Bishopric of Speyer		Bishopric of Speyer
Q574917	County of Beilstein		Lordship of Winneburg and Beilstein
Q577867	Kingdom of Poland	Polish state from the coronation of the first King Bolesław I the Brave in 1025 to the union with Lithuania and the rule of the Jagiellon dynasty in 1385	Kingdom of Poland (1025–1385)
Q577890	Alexamenos graffito		Alexamenos graffito
Q580853	Madonna and Child with an Angel		Madonna and Child with an Angel (Botticelli)
Q581741	Chimor		Chimor
Q581925	Cupid	sculpture by Michelangelo	Cupid (Michelangelo)
Q582172	Nefertiti Bust		Nefertiti Bust
Q582861	Marinid dynasty		Marinid dynasty
Q583057	Eretnids		Eretnids
Q586948	Movimento das Forças Armadas		Armed Forces Movement
Q588089	Portuguese Navy	naval branch of the Portuguese Armed Forces	Portuguese Navy
Q588447	Papyrus 6		Papyrus 6
Q588672	Hammadid dynasty		Hammadid dynasty
Q589662	Royal Prussia		Royal Prussia
Q593845	East Grinstead	historical parliamentary constituency of the Kingdom of England, the Kingdom of Great Britain, and the United Kingdom	East Grinstead (UK Parliament constituency)
Q594213	Aldobrandini Wedding	Ancient Roman fresco	Aldobrandini Wedding
Q596092	Kingdom of Zimbabwe		Kingdom of Zimbabwe
Q597353	O Fortuna	medieval Latin poem	O Fortuna
Q598496	Declaration of Arbroath	declaration of Scottish independence	Declaration of Arbroath
Q599613	County of Namur		County of Namur
Q603771	Emirate of Crete		Emirate of Crete
Q604593	Despotate of the Morea		Despotate of the Morea
Q605340	Wari culture		Wari culture
Q605725	Legend of Saint Ursula	Cycle of 9 parts originally for Scuola di Sant'Orsola in Santi Giovanni e Paolo	Legend of Saint Ursula
Q607598	Virgin of the Consellers		Virgin of the Consellers
Q607872	Hours of Philip the Good		Hours of Philip the Good
Q609884	First Lord of the Treasury	position in the United Kingdom Government	First Lord of the Treasury
Q615538	Hours of Mary of Burgundy		Hours of Mary of Burgundy
Q618535	Aphrodite of Cnidus	sculpture of Greek sculptor Praxiteles of Athens	Aphrodite of Cnidus
Q618854	Apocalypse	series of fifteen woodcuts by Albrecht Dürer	Apocalypse (Dürer)
Q618856	Apocalypse Tapestry		Apocalypse Tapestry
Q619135	Apollo Belvedere		Apollo Belvedere
Q619265	Apollo Sauroctonos	artistic type	Apollo Sauroctonos
Q624887	Neo-Babylonian Empire		Neo-Babylonian Empire
Q629316	pyxis of al-Mughira	ivory carved container	Pyxis of al-Mughira
Q632581	Medal of John VIII Palaeologus		Medal of John VIII Palaeologus
Q642314	County of Burgundy		County of Burgundy
Q644734	Gualino Madonna		Gualino Madonna
Q645981	Bishopric of Halberstadt		Bishopric of Halberstadt
Q650489	Margraviate of Baden		Margraviate of Baden
Q653194	Gemma Augustea		Gemma Augustea
Q655093	Three Angels and Young Tobias		Three Angels and Young Tobias
Q655657	Death of the Virgin	painting by Hugo van der Goes	Death of the Virgin (van der Goes)
Q656434	La Belle Ferronnière	painting by Leonardo da Vinci (Louvre INV 778)	La belle ferronnière
Q657241	Duchy of Westphalia		Duchy of Westphalia
Q659457	Banu Qasi		Banu Qasi
Q661023	Papyrus 14		Papyrus 14
Q664659	Bishopric of Ratzeburg		Bishopric of Ratzeburg
Q667187	Freie Ämter		Freie Ämter
Q667202	Maestà		Maestà (Duccio)
Q668412	Pala Empire		Pala Empire
Q669032	Bishopric of Ösel–Wiek	semi-independent Roman Catholic prince-bishopric	Bishopric of Ösel–Wiek
Q669241	League of Lezhë		League of Lezhë
Q669872	The Vision of Saint Eustace		The Vision of Saint Eustace
Q670775	Papyrus 8		Papyrus 8
Q673837	Hesse-Marburg		Hesse-Marburg
Q676184	Kingdom of Sussex	in England	Kingdom of Sussex
Q676349	Papyrus 34		Papyrus 34
Q676811	Taifa of Valencia		Taifa of Valencia
Q677742	Papyrus 42		Papyrus 42
Q681348	Marquisate of Saluzzo		Marquisate of Saluzzo
Q681431	Barberini Faun		Barberini Faun
Q682597	Kipchak people		Kipchaks
Q686312	Duchy of Amalfi		Duchy of Amalfi
Q686965	Anhalt-Bernburg		Anhalt-Bernburg
Q693562	Duchy of Saxe-Wittenberg	medieval duchy of the Holy Roman Empire centered at Wittenberg, which emerged after the dissolution of the stem duchy of Saxony	Duchy of Saxe-Wittenberg
Q693980	Duchy of Swabia		Duchy of Swabia
Q694829	March of Styria		March of Styria
Q695322	Landgraviate of Hesse		Landgraviate of Hesse
Q696640	Duchy of Pomerania		Duchy of Pomerania
Q697254	Prince-Bishopric of Münster		Prince-Bishopric of Münster
Q697685	House of Nassau-Weilburg		House of Nassau-Weilburg
Q697787	Duchy of Limburg	duchy in Western Europe between 1065-1795	Duchy of Limburg
Q698015	Madonna of the Carnation	painting by Leonardo da Vinci	Madonna of the Carnation
Q698239	Hubaekje		Later Baekje
Q698704	Hours of Maria d’Harcourt		Hours of Maria d'Harcourt
Q699731	Wied	former County of Rhineland-Palatinate, Germany	Wied
Q699871	Taebong		Taebong
Q701035	The Last Judgment		The Last Judgment (Memling)
Q701983	Palatinate-Zweibrücken		Palatinate-Zweibrücken
Q702224	Duchy of Carinthia		Duchy of Carinthia
Q702646	Sayn-Wittgenstein		Sayn-Wittgenstein
Q703919	Ngô Dynasty		Ngô dynasty
Q704288	Duchy of Holstein		Duchy of Holstein
Q705240	Hohenlohe		Hohenlohe
Q706152	Principality of Anhalt-Zerbst		Principality of Anhalt-Zerbst
Q706553	County of Nice		County of Nice
Q706679	Duchy of Bar		Duchy of Bar
Q706846	Dwelling in the Fuchun Mountains	painting by Huang Gongwang	Dwelling in the Fuchun Mountains
Q707767	Prince-Bishopric of Utrecht		Episcopal principality of Utrecht
Q714802	Along the River During the Qingming Festival	painting attributed to Zhang Zeduan	Along the River During the Qingming Festival
Q717451	Beylik of Lâdik		Beylik of Lâdik
Q723479	Madonna del Parto		Madonna del Parto
Q726430	Allegories	series of paintings by Giovanni Bellini	Allegories (Bellini)
Q726798	Tulunids		Tulunids
Q727118	Muzaffarid dynasty of Gujarat		Muzaffarids (Gujarat)
Q729197	Bartolini Salimbeni Annunciation		Bartolini Salimbeni Annunciation
Q730983	Portrait of Caracalla		Portrait of Caracalla
Q732277	Christ Crowned with Thorns	painting by Hieronymus Bosch	Christ Crowned with Thorns (Bosch, El Escorial)
Q732821	Portrait of Luca Pacioli	painting by Jacopo de' Barbari	Portrait of Luca Pacioli
Q733799	Hwicce		Hwicce
Q733889	County of Manderscheid		County of Manderscheid
Q734834	Ghent Altarpiece	polyptych by Hubert van Eyck and Jan van Eyck	Ghent Altarpiece
Q735085	David	bronze statue by Donatello	David (Donatello)
Q735298	Supreme Order of Christ		Supreme Order of Christ
Q735326	Lamentation over the Dead Christ		Lamentation over the Dead Christ (Botticelli)
Q736029	Nassau-Siegen		Nassau-Siegen
Q736832	Chōjū-jinbutsu-giga		Chōjū-jinbutsu-giga
Q742801	Portrait of a Young Man	painting by the Italian artist Sandro Botticelli	Portrait of a Young Man (Botticelli, Pitti Palace)
Q746443	Golden Ambrosian Republic		Golden Ambrosian Republic
Q752662	Hafsid dynasty		Hafsid dynasty
Q756895	Kediri		Kediri Kingdom
Q760893	Jolof Empire		Jolof Empire
Q762552	Hours of Jean de Boucicaut		Hours of Jean de Boucicaut
Q763795	Allegory		Allegory (Filippino Lippi)
Q764697	Taifa of Orihuela		Taifa of Orihuela
Q766501	Duchy of Mantua		Duchy of Mantua
Q770048	Portuguese Gold Coast		Portuguese Gold Coast
Q774967	Venus de' Medici		Venus de' Medici
Q776565	County of Zweibrücken		County of Zweibrücken
Q777934	Arrotino		Arrotino
Q780466	Saint George and the Dragon	1470s painting by Uccello	Saint George and the Dragon (Uccello)
Q783489	Later Liang dynasty		Later Liang (Five Dynasties)
Q794210	Aztec Triple Alliance		Aztec Empire
Q796583	Kingdom of Kongo	former African kingdom located in west central Africa	Kingdom of Kongo
Q807809	Barberini ivory		Barberini ivory
Q808139	Barghawata		Barghawata
Q810944	Battersea Shield		Battersea Shield
Q818252	Bentheim-Tecklenburg		Bentheim-Tecklenburg
Q822269	Waldburg-Trauchburg		Waldburg-Trauchburg
Q828665	Ikhshidid dynasty		Ikhshidid dynasty
Q830084	Principality of Brunswick-Wolfenbüttel		Principality of Brunswick-Wolfenbüttel
Q835706	Prince of Asturias		Prince of Asturias
Q836169	Qasim Khanate		Qasim Khanate
Q836256	Ran Min		Ran Min
Q836676	Kingdom of Majorca		Kingdom of Majorca
Q836894	Patriarchate of Aquileia		Patria del Friuli
Q837136	Deheubarth		Deheubarth
Q837829	Ince Hall Madonna		Ince Hall Madonna
Q837848	Rohan Hours		Rohan Hours
Q838074	Madonna at the Fountain	painting by Jan van Eyck	Madonna at the Fountain
Q841364	Ayutthaya Kingdom		Ayutthaya Kingdom
Q846670	Danishmends		Danishmends
Q847420	Mamluk sultanate		Mamluk Dynasty (Delhi)
Q853477	Lan Xang		Lan Xang
Q856691	Rashtrakuta Dynasty		Rashtrakuta dynasty
Q856984	Duke of Lothier		Duke of Lothier
Q858316	Doge of Venice	chief magistrate of Venetian Republic	Doge of Venice
Q862304	Kara-Khitan Khanate		Kara-Khitan Khanate
Q863279	Sukhothai Kingdom		Sukhothai Kingdom
Q865584	Princedom of Albania		Princedom of Albania
Q866716	Jalayirids		Jalairid Sultanate
Q867782	Kingdom of Funan		Kingdom of Funan
Q869930	Roman Catholic Diocese of Sion		Roman Catholic Diocese of Sion
Q874666	Wells	UK Parliament constituency	Wells (UK Parliament constituency)
Q875305	Northern Wei		Northern Wei
Q875739	Hungarian March		Hungarian March
Q876141	County of Wernigerode		County of Wernigerode
Q876797	House of Henneberg		House of Henneberg
Q877670	Muzaffarids of Iran		Muzaffarids (Iran)
Q878309	Ly dynasty		Lý dynasty
Q878319	Serbian Despotate		Serbian Despotate
Q879466	Roman Gaul		Roman Gaul
Q883469	Holstein-Pinneberg		Holstein-Pinneberg
Q889374	Warsangali Sultanate	former Somali imperial ruling house	Warsangali Sultanate
Q889970	Jorvik		Scandinavian York
Q892631	Principality of Novgorod-Seversk		Principality of Novgorod-Seversk
Q894030	Bornu Empire		Bornu Empire
Q904346	Kingdom of Desmond		Kingdom of Desmond
Q910308	Lord Privy Seal	sinecure office of state in the UK	Lord Privy Seal
Q912052	Wei		Wei (state)
Q919071	Khilji dynasty		Khilji dynasty
Q921067	Taifa of Murcia		Taifa of Murcia
Q922185	Albani Torlonia Polyptych		Albani Torlonia Polyptych
Q924482	Ecce Homo	1490s painting by Hieronymus Bosch or a follower	Ecce Homo (Bosch, 1490s)
Q927154	Tsardom of Vidin		Tsardom of Vidin
Q928936	Kakuyids		Kakuyids
Q931933	Portrait of Lorenzo di Credi		Portrait of Lorenzo di Credi
Q933592	Duchy of Massa and Carrara		Duchy of Massa and Carrara
Q934458	Perugia Altarpiece		Perugia Altarpiece
Q935351	Altarpiece of Saints Ursula, Martin and Anthony		Altarpiece of Saints Ursula, Martin and Anthony
Q940123	Rustamid dynasty	Rüstemiler Devleti	Rustamid dynasty
Q941887	Karasids		Karasids
Q943392	Former Liang		Former Liang
Q945250	Portrait of Francesco delle Opere		Portrait of Francesco delle Opere
Q948745	Rucellai Madonna		Rucellai Madonna
Q949076	Great Cameo of France		Great Cameo of France
Q949268	Nanda Empire		Nanda Empire
Q952153	Ban Dainagon Ekotoba		Ban Dainagon Ekotoba
Q955295	Madonna with Child	painting by Carlo Crivelli	Madonna with Child (Crivelli)
Q959174	Portrait of a Man with a Medal of Cosimo the Elder		Portrait of a Man with a Medal of Cosimo the Elder
Q959537	Death of the Virgin		Death of the Virgin (Mantegna)
Q960395	Shaddadids		Shaddadids
Q960681	Duchy of Saint Sava	late medieval statelet	Duchy of Saint Sava
Q965822	Madonna della Vittoria	painting by Andrea Mantegna	Madonna della Vittoria
Q970799	Wattasid dynasty		Wattasid dynasty
Q972196	St. Jerome in the Wilderness	painting by Leonardo da Vinci	St. Jerome in the Wilderness (Leonardo)
Q974300	Rampin Rider		Rampin Rider
Q975291	Papyrus Oxyrhynchus 3035		Papyrus Oxyrhynchus 3035
Q975405	Sultanate of Rum		Sultanate of Rum
Q979440	Annunciation with St. Margaret and St. Ansanus	Painting by Simone Martini and Lippo Memmi	Annunciation with St. Margaret and St. Ansanus
Q986881	Kingdom of Butua		Kingdom of Butua
Q994451	Western Liang		Western Liang (Sixteen Kingdoms)
Q1003703	Bulgaria	province of the Byzantine Empire established by Emperor Basil II	Bulgaria (theme)
Q1031430	Habsburg Netherlands		Habsburg Netherlands
Q1048918	Suebic Kingdom of Galicia		Kingdom of the Suebi
Q1054409	March of Ancona		March of Ancona
Q1054459	Crucifixion	painting	Crucifixion (Masaccio)
Q1055111	Madonna and Child	Painting by Filippo Lippi in the Uffizi	Madonna and Child (Lippi)
Q1055117	Adoration of the Magi	painting by the Italian artist Gentile da Fabriano	Adoration of the Magi (Gentile da Fabriano)
Q1056007	Annunciation		Annunciation (Filippo Lippi, London)
Q1056043	Annunciation with two Kneeling Donors		Annunciation with two Kneeling Donors (Lippi)
Q1059128	Order of the Ermine		Order of the Ermine
Q1059211	The Baptism of Christ	painting by Andrea del Verrocchio in collaboration with Leonardo da Vinci	The Baptism of Christ (Verrocchio)
Q1059707	Lanna		Lan Na
Q1061057	Aceh Sultanate	historical sultanate centered on the modern-day Indonesian province of Aceh	Aceh Sultanate
Q1067513	Injuids		Injuids
Q1069868	Liang dynasty		Liang dynasty
Q1069905	Cheng Han		Cheng Han
Q1069959	Kingdom of Imereti		Kingdom of Imereti
Q1078062	Principality of Taranto		Principality of Taranto
Q1089675	Chobanids		Chobanids
Q1092638	Madonna di Senigallia		Madonna di Senigallia
Q1100893	Province of the Dejanović family		Province of the Dejanović family
Q1107789	Marquisate of Ceva		Marquisate of Ceva
Q1107818	Marquisate of Incisa		Marquisate of Incisa
Q1108420	Pala dynasty		Pala dynasty (Kamarupa)
Q1109008	Varman dynasty		Varman dynasty
Q1109340	Fortitude	Painting by Sandro Botticelli in the Uffizi	Fortitude (Botticelli)
Q1113861	Portrait of a Lady known as Esmeralda Brandini		Portrait of a Lady known as Smeralda Brandini
Q1114329	Saint Augustine		Saint Augustine in His Study (Botticelli, Ognissanti)
Q1114806	Annunciation	painting created by Italian Renaissance painter Sandro Botticelli	Annunciation (Botticelli, Glasgow)
Q1114823	Saint Augustine in His Cell		Saint Augustine in His Study (Botticelli, Uffizi)
Q1114856	Madonna del Padiglione		Madonna del Padiglione (Botticelli)
Q1114881	Venus and the Three Graces Presenting Gifts to a Young Woman	fresco painting by Sandro Botticelli	Venus and the Three Graces Presenting Gifts to a Young Woman
Q1115413	The Story of Virginia		The Story of Virginia (Botticelli)
Q1115423	Lamentation over the Dead Christ with Saints		Lamentation over the Dead Christ with Saints (Botticelli)
Q1115514	The Story of Lucretia		The Story of Lucretia (Botticelli)
Q1121018	Party of Communists of Kyrgyzstan		Party of Communists of Kyrgyzstan
Q1122052	Cumania		Cumania
Q1124402	Tughlaq dynasty		Tughlaq dynasty
Q1126340	Pyrrhonism		Pyrrhonism
Q1131019	The Story of Nastagio Degli Onesti, part one		The Story of Nastagio Degli Onesti, part one
Q1131110	Agony in the Garden		Agony in the Garden (Bellini)
Q1131272	Temptations of Christ		Temptations of Christ (Botticelli)
Q1133431	Artuqids		Artuqids
Q1133471	Madonna del Bordone		Madonna del Bordone
Q1134872	Hoegaarden Brewery		Hoegaarden Brewery
Q1136780	San Luca Altarpiece		San Luca Altarpiece
Q1141471	Northern Han		Northern Han
Q1142058	Benois Madonna	painting by Leonardo da Vinci	Benois Madonna
Q1143126	Later Tang Dynasty		Later Tang
Q1143164	Western Wei		Western Wei
Q1143524	Northern Qi		Northern Qi
Q1144620	Bacchus	sculpture by Michelangelo	Bacchus (Michelangelo)
Q1144811	Mlechchha dynasty		Mlechchha dynasty
Q1149098	Dai		Dai (Sixteen Kingdoms)
Q1149230	Western Yan		Western Yan
Q1150402	The Madonna of the Cherubim		The Madonna of the Cherubim
Q1150782	Léal Souvenir	painting by Jan van Eyck	Léal Souvenir
Q1154406	Ashikaga shogunate	former country in Japan	Ashikaga shogunate
Q1154540	Later Jin Dynasty		Later Jin (Five Dynasties)
Q1165472	Rylands Library Papyrus P52		Rylands Library Papyrus P52
Q1169199	The Last Judgment		Beaune Altarpiece
Q1186858	Empire of Great Fulo		Empire of Great Fulo
Q1190706	Castor and Pollux	ancient Roman sculptural group	Castor and Pollux (Prado)
Q1192067	Min	one of the Ten Kingdoms	Min (Ten Kingdoms)
Q1192347	Chu		Chu (Ten Kingdoms)
Q1193822	Wuyue		Wuyue
Q1194765	Kamarupa		Kamarupa
Q1194934	Tughlugh Timur	Chagatai khan	Tughlugh Timur
Q1196201	Tuyuhun		Tuyuhun
Q1198071	Southern Han		Southern Han
Q1204304	Paul Cézanne University	former university in Aix-en-Provence and Marseille, France	Paul Cézanne University
Q1209047	Hồ dynasty		Hồ dynasty
Q1209822	Kingdom of Kakheti	Georgian kingdom	Kingdom of Kakheti
Q1212920	Flagellation of Christ	painting by Piero della Francesca	Flagellation of Christ (Piero della Francesca)
Q1214531	Ain Sakhri lovers		Ain Sakhri lovers
Q1215717	Coronation of the Virgin	altarpiece by Fra Angelico, Louvre	Coronation of the Virgin (Fra Angelico, Louvre)
Q1215809	San Marco Altarpiece		San Marco Altarpiece
Q1217187	Calumny of Apelles		Calumny of Apelles (Botticelli)
Q1217213	Annunciation	Renaissance painting by Leonardo da Vinci and Andrea del Verrocchio	Annunciation (Leonardo)
Q1231403	Bishopric of Trent	former Italian state (1027–1803)	Bishopric of Trent
Q1232887	County of Savoy		County of Savoy
Q1233672	County of Barcelona		County of Barcelona
Q1235720	Republic of Lucca		Republic of Lucca
Q1246440	Judith and Holofernes	sculpture by Donatello	Judith and Holofernes (Donatello)
Q1247508	Domain of Soissons		Kingdom of Soissons
Q1248136	Antinous Mondragone		Antinous Mondragone
Q1252102	Ecce Homo	title of a series of paintings by Antonello da Messina	Ecce Homo (Antonello da Messina)
Q1254667	Beylik of Erzincan		Beylik of Erzincan
Q1265164	Earl Marshal		Earl Marshal
Q1267893	Ginevra de' Benci	painting by Leonardo da Vinci	Ginevra de' Benci
Q1272037	Self-portrait	drawing by Albrecht Dürer	Self-Portrait at the age of 13
Q1278936	Sirmium	Byzantine administrative unit (theme)	Theme of Sirmium
Q1291490	Sarcophagus of Junius Bassus		Sarcophagus of Junius Bassus
Q1307686	Phrasikleia Kore		Phrasikleia Kore
Q1311080	Navicella (mosaic)		Navicella (mosaic)
Q1311219	Jaffna kingdom		Jaffna kingdom
Q1311990	Serbian Grand Principality	Medieval grand principality in Eastern Europe	Serbian Grand Principality
Q1319681	Qi	Chinese kingdom during the Five Dynasties and Ten Kingdoms period in China	Qi (Five Dynasties)
Q1323195	Wu	one of the Ten Kingdoms in south-central China	Wu (Ten Kingdoms)
Q1324889	Germiyanids		Germiyanids
Q1325075	Jingnan		Jingnan
Q1326742	Southern Tang		Southern Tang
Q1327602	Wei		Wei (Dingling)
Q1327676	Madonna Litta	painting attributed to Leonardo da Vinci	Madonna Litta
Q1329439	Southern Yan		Southern Yan
Q1330290	Southern Liang		Southern Liang
Q1331421	Sayyid dynasty		Sayyid dynasty
Q1334322	County of Toulouse		County of Toulouse
Q1337854	Emirate of Córdoba	independent emirate in the Iberian Peninsula	Emirate of Córdoba
Q1345559	European Conservatives and Reformists	political group in the European Parliament	European Conservatives and Reformists
Q1353404	Principality of Kastrioti		Principality of Kastrioti
Q1370682	Musica enchiriadis		Musica enchiriadis
Q1376093	Samhan		Samhan
Q1387483	The Last Judgment		The Last Judgment (Bosch triptych)
Q1398760	Boxer of Quirinal	Greek sculpture	Boxer of Quirinal
Q1400572	Menteşe		Menteşe (beylik)
Q1400866	Franks Casket		Franks Casket
Q1406298	Serbian Empire		Serbian Empire
Q1410866	Martyrdom of Saint Sebastian		Martyrdom of Saint Sebastian (Piero del Pollaiolo)
Q1424297	Ingeborg Psalter		Ingeborg Psalter
Q1431527	County of Boulogne		County of Boulogne
Q1433867	Kazakh Khanate		Kazakh Khanate
Q1435218	Maschen disc brooch		Maschen disc brooch
Q1448688	Uyunid dynasty		Uyunid dynasty
Q1469100	Karamanids		Karamanids
Q1471373	Saloum		Saloum
Q1471995	Former Qin		Former Qin
Q1472004	Former Yan		Former Yan
