Duchy of Brabant	duchy	1183	1795	5	51.66667	Royal Arms of Belgium.svg
Fatimid Caliphate	caliphate	909	1171	11.056042	35.5038839	null
Crimean Khanate	former country	1441	1783	33.8534782	44.7522963	Gerae-tamga.svg
Chancellor of the Duchy of Lancaster	position	1361	1461	-94.23418	35.57704	null
Holstein-Rendsburg	noble family	1290	1459	9.6658499	54.3006938	null
Duchy of Saxony	duchy	804	1296	13.25	51	Coat of arms of Lower Saxony.svg
Kingdom of Sardinia	former country	1324	1861	9.1128513	39.2169525	null
Margraviate of Meissen	null	965	1423	13.50776	51.22502	Blason Nord-Pas-De-Calais.svg
County of Oldenburg	countship	1091	1774	8.21467	53.14118	null
Grand Duchy of Moscow	former country	1263	1547	37.6187042	55.7516335	Seal-of-Ivan-4 1539 a.svg
Kingdom of Naples	former country	1282	1816	-97.7142	34.97785	null
Treaty of Corbeil (1258)	treaty	1258	1358	-1	41	null
Ilkhanate	organization	1256	1335	46.2397524	37.3916705	null
Principality of Zeta	former country	1360	1460	15.24902	41.01307	null
Latin Empire	null	1204	1261	28.9651646	41.0096334	Blason Empire Latin de Constantinople.svg
Empire of Trebizond	monarchy	1204	1461	39.72694	41.005	null
Kingdom of Castile	former country	1035	1230	-3.696977	42.343926	Royal Arms of Castille (1214-15th Century).svg
Ayyubid dynasty	dynasty	1171	1341	31.2436663	30.0488185	null
Empire of Nicaea	former country	1204	1261	29.7223732	40.4303445	null
Mali Empire	former country	1230	1545	-8.4138589	11.9415411	null
Borghese Gladiator	sculpture	-100	0	12.661425	41.4575382	null
Despotate of Epirus	former country	1205	1479	42.5742801	11.3861664	null
Kingdom of Sicily	realm	1130	1816	13.3534422	38.11127	Arms of the Aragonese Kings of Sicily(Crowned).svg
Grabow Altarpiece	painting	1379	1479	10.1459929321434	54.3286445	null
Kingdom of Kartli (1484–1762)	state	1466	1762	13.8024345	49.540361	null
Zheng (state)	former country	-806	-375	109.769014886134	34.4129102	null
Ghurid dynasty	dynasty	1011	1215	-115.9233426	35.4355353	null
