#Item	Label	Description	Site on enwiki
Q1013421	Ulundi	town in the Zululand District Municipality, and at one time the capital of Zululand in South Africa	Ulundi
Q1013445	Okazaki Castle		Okazaki Castle
Q1013448	Okayama Castle		Okayama Castle
Q1013644	Reifenstein Castle		Reifenstein Castle
Q1013829	Schachenstein Castle		Schachenstein Castle
Q1013854	Burg Scharfenstein		Scharfenstein Castle (Kiedrich)
Q1013891	Schlossberg Castle	castle in the municipality of La Neuveville, Switzerland	Schlossberg Castle (La Neuveville)
Q1013942	Burg Schwarzenfels		Schwarzenfels Castle
Q1013993	Château de Sedan		Château de Sedan
Q1014079	Steckelberg Castle		Steckelberg Castle
Q1014121	Steinsberg Castle		Steinsberg Castle
Q1014350	Ushakovo, Kaliningrad Oblast		Ushakovo, Novomoskovsky Rural Okrug, Guryevsky District, Kaliningrad Oblast
Q1014431	Vordingborg Castle		Vordingborg Castle
Q1014580	Ficksburg	town in the Free State, South Africa	Ficksburg
Q1014747	Český Šternberk Castle		Český Šternberk Castle
Q1014910	Burgersdorp	town in the Eastern Cape, South Africa	Burgersdorp
Q1015208	Burgrest Sirgenstein		Sirgenstein Castle
Q1015289	Burgruine Finkenstein		Burgruine Finkenstein
Q1015393	Burgruine Leonstein		Burgruine Leonstein
Q1015404	Burgruine Liebenfels		Burgruine Liebenfels
Q1015552	Treuenstein Castle		Treuenstein Castle
Q1015617	Yoros Castle		Yoros Castle
Q1015647	Klerksdorp	city in the North West, South Africa	Klerksdorp
Q1015741	Vasilyevo, Zelenodolsky District, Republic of Tatarstan		Vasilyevo, Zelenodolsky District, Republic of Tatarstan
Q1016100	King William's Town	town in the Eastern Cape, South Africa	King William's Town
Q1017696	Jacobabad		Jacobabad
Q1017737	Fergana Oblast		Fergana Oblast
Q1017948	Butler	city in Pennsylvania, United States	Butler, Pennsylvania
Q1018144	Paarl	town in the Western Cape, South Africa	Paarl
Q1018158	Butterworth, Eastern Cape		Butterworth, Eastern Cape
Q1019997	Nizhneangarsk		Nizhneangarsk
Q1020192	Uitenhage	South African city	Uitenhage
Q1020758	Loreto	town and municipal seat in Baja California Sur, Mexico	Loreto, Baja California Sur
Q1020914	Mthatha	town in the Eastern Cape, South Africa	Mthatha
Q1021157	Hanover	town in the Northern Cape, South Africa	Hanover, Northern Cape
Q1021715	Hoedspruit	town in Limpopo, South Africa	Hoedspruit
Q1021731	Prieska		Prieska
Q1021742	Senekal		Senekal
Q1021749	Poltavskaya		Poltavskaya (rural locality)
Q1021884	Stutterheim		Stutterheim
Q1021891	Greytown		Greytown, KwaZulu-Natal
Q1021895	Riebeek West		Riebeek West
Q1021900	Somerset East		Somerset East
Q1021911	McGregor, Western Cape		McGregor, Western Cape
Q1021915	Kranskop	town in KwaZulu-Natal, South Africa	Kranskop
Q1021918	Heidelberg, Western Cape	Town in the Wester Cape province, South Africa	Heidelberg, Western Cape
Q1022275	Necochea	Coastal city in Buenos Aires province, Argentina	Necochea
Q1023254	Vryheid		Vryheid
Q1023257	Swellendam		Swellendam
Q1024406	Långe Erik		Långe Erik
Q1024886	Arsuf		Arsuf
Q1025013	Lovozero		Lovozero (rural locality)
Q1025086	Franschhoek	town in the Western Cape, South Africa	Franschhoek
Q1025145	Verkhniye Kigi		Verkhniye Kigi
Q1025398	Caerlaverock Castle		Caerlaverock Castle
Q1025649	Worcester	town in the Western Cape, South Africa	Worcester, Western Cape
Q1025657	Clanwilliam	town in the Western Cape, South Africa	Clanwilliam, Western Cape
Q1025704	Cafe Terrace at Night		Cafe Terrace at Night
Q1025797	Clarion	borough in Pennsylvania, United States of America	Clarion, Pennsylvania
Q1025836	Tomilino		Tomilino
Q1025907	Muzhi		Muzhi, Yamalo-Nenets Autonomous Okrug
Q1025918	Gunib		Gunib
Q1025965	Kuruman	town in the Northern Cape, South Africa	Kuruman
Q1026065	Senarica		Senarica
Q1026613	Wazirabad Tehsil		Wazirabad
Q1026644	Tomb of Francis II, Duke of Brittany		Tomb of Francis II, Duke of Brittany
Q1026882	Savanur		Savanur
Q1027048	Calitzdorp	town in the Western Cape, South Africa	Calitzdorp
Q1027294	Newcastle	city in South Africa	Newcastle, KwaZulu-Natal
Q1027521	Ermelo	city in South Africa	Ermelo, Mpumalanga
Q1027719	rue Royale	street in Paris, France	Rue Royale, Paris
Q1027757	Calvinia	town in the Northern Cape, South Africa	Calvinia
Q1027839	Whittlesea, Eastern Cape		Whittlesea, Eastern Cape
Q1030916	Camper and Nicholsons		Camper and Nicholsons
Q1030948	Camperdown	settlement in Umgungundlovu District Municipality in KwaZulu-Natal, South Africa	Camperdown, KwaZulu-Natal
Q1031520	Gömör és Kis-Hont County		Gömör és Kis-Hont County
Q1032269	Canadian Museum of History		Canadian Museum of History
Q1032442	Canadian War Museum		Canadian War Museum
Q1035742	Cardiff Castle	castle in Cardiff, Wales	Cardiff Castle
Q1038813	Magdalena Partido		Magdalena Partido
Q1039006	Laprida	Partido located in central Buenos Aires Province in Argentina	Laprida Partido
Q1039230	Máramaros County		Máramaros County
Q1043967	Carnegie Museum of Art	museum in Pittsburgh, Pennsylvania	Carnegie Museum of Art
Q1043983	Carnegie Museum of Natural History		Carnegie Museum of Natural History
Q1044141	Szilágy County		Szilágy County
Q1044148	Hunyad County	was an administrative county (comitatus) of the Kingdom of Hungary	Hunyad County
Q1044419	Carolina Rediviva		Carolina Rediviva
Q1044536	Spain under the Restoration		Restoration (Spain)
Q1047730	Lublin Voivodeship	was an administrative region of the Kingdom of Poland, 1474-1795	Lublin Voivodeship (1474–1795)
Q1048676	Capdepera Castle		Castle of Capdepera
Q1049302	Castillo de la Real Fuerza		Castillo de la Real Fuerza
Q1050227	Kremnica Mint		Kremnica Mint
Q1051145	Imeni Sverdlova	urban-type settlement in Leningrad Oblast, Russia	Imeni Sverdlova, Russia
Q1052110	County Coleraine		County Coleraine
Q1053339	Montgomeryshire	UK Parliament constituency	Montgomeryshire (UK Parliament constituency)
Q1054097	Giardino botanico Clelia Durazzo Grimaldi		Giardino botanico Clelia Durazzo Grimaldi
Q1054923	British Hong Kong	former Crown colony and British dependent territory in Southeast Asia	British Hong Kong
Q1055944	Sapporo Beer Museum		Sapporo Beer Museum
Q1056152	Royal Palace of Amsterdam	palace in Amsterdam, Netherlands	Royal Palace of Amsterdam
Q1057118	Chenla Kingdom		Chenla Kingdom
Q1057542	Republic of Hawaii		Republic of Hawaii
Q1060884	New York Aquarium		New York Aquarium
Q1062357	Chankillo		Chankillo
Q1062732	Chapelle expiatoire	chapel located in the 8th arrondissement of Paris, France	Chapelle expiatoire
Q1064401	Charles Fort		Charles Fort (Ireland)
Q1067870	Charterhouse School	English collegiate independent boarding school	Charterhouse School
Q1068063	National Gallery of Canada	museum of art in Ottawa	National Gallery of Canada
Q1068190	Sarkel		Sarkel
Q1069665	Santa Felicita	Church in Florence	Santa Felicita, Florence
Q1069884	Udvarhely County		Udvarhely County
Q1070140	Buckingham	UK Parliament constituency	Buckingham (UK Parliament constituency)
Q1070234	Shire Hall		Shire Hall, Monmouth
Q1072466	Kraskino		Kraskino
Q1076285	Choquequirao		Choquequirao
Q1077630	Septinsular Republic		Septinsular Republic
Q1082602	Christiana, North West		Christiana, North West
Q1090235	Chysauster Ancient Village		Chysauster Ancient Village
Q1094340	Åre Old Church		Åre Old Church
Q1098820	Gênes	former French department in Italy (1805-1814)	Gênes
Q1103550	Pinacoteca Nazionale di Bologna	museum of arts in Bologna	Pinacoteca Nazionale di Bologna
Q1106097	Zmiiv	A city in Kharkiv oblast, Ukraine	Zmiiv
Q1106161	Christ of the Lanterns		Christ of the Lanterns
Q1108197	Wuhan University	university in Wuhan, China	Wuhan University
Q1109279	United Mexican States	1824-1864 federal republic in Central America	First Mexican Republic
Q1111888	Churapcha	A town in Churapcha district, Sakha Republic, Russia.	Churapcha
Q1117051	Kingdom of Illyria	Kingdom of Illyria (1816–49)	Kingdom of Illyria (1816–49)
Q1117704	Indianapolis Museum of Art	art museum in Indianapolis	Indianapolis Museum of Art
Q1121436	Province of Canada	19th century UK colony in North America	Province of Canada
Q1122018	Sporkenburg		Sporkenburg
